序号,股票代码,股票简称,报告名称,东财评级,机构,近一月个股研报数,2026-盈利预测-收益,2026-盈利预测-市盈率,2027-盈利预测-收益,2027-盈利预测-市盈率,2028-盈利预测-收益,2028-盈利预测-市盈率,行业,日期,报告PDF链接
149,000001,平安银行,存贷业务快增，不良认定趋严,买入,中银国际,1,,,,,,,银行Ⅱ,2020-01-14,https://pdf.dfcfw.com/pdf/H3_AP202001141374050401_1.pdf
150,000001,平安银行,平安银行业绩快报点评：清理包袱加快放贷，真实盈利能力改善,买入,民生证券,1,,,,,,,银行Ⅱ,2020-01-14,https://pdf.dfcfw.com/pdf/H3_AP202001141374050394_1.pdf
151,000001,平安银行,平安银行：资产质量稳定，业绩依然保持较快增长,买入,太平洋,1,,,,,,,银行Ⅱ,2019-10-23,https://pdf.dfcfw.com/pdf/H3_AP201910231369547232_1.pdf
152,000001,平安银行,三季报点评：业绩基本符合预期，收入端增长强劲,买入,群益证券,1,,,,,,,银行Ⅱ,2019-10-23,https://pdf.dfcfw.com/pdf/H3_AP201910231369538899_1.pdf
153,000001,平安银行,2019年三季报点评：净利润保持高增长，资产质量平稳，风险抵补能力提升,买入,东莞证券,1,,,,,,,银行Ⅱ,2019-10-23,https://pdf.dfcfw.com/pdf/H3_AP201910231369538596_1.pdf
154,000001,平安银行,Long-term prospect stays intact despite some NIM pressure,买入,招银国际,1,,,,,,,银行Ⅱ,2019-10-23,https://pdf.dfcfw.com/pdf/H3_AP201910231369524211_1.pdf
155,000001,平安银行,平安银行三季报点评：利润高增长，零售快转型,增持,民生证券,1,,,,,,,银行Ⅱ,2019-10-22,https://pdf.dfcfw.com/pdf/H3_AP201910221369436621_1.pdf
156,000001,平安银行,平安银行2019年三季报点评：零售转型持续显成效，不良平稳,买入,东兴证券,1,,,,,,,银行Ⅱ,2019-10-22,https://pdf.dfcfw.com/pdf/H3_AP201910221369435602_1.pdf
157,000001,平安银行,2019年三季报点评：ROE持续上行，单季度利润创新高,买入,东吴证券,1,,,,,,,银行Ⅱ,2019-10-22,https://pdf.dfcfw.com/pdf/H3_AP201910221369431064_1.pdf
158,000001,平安银行,营收增速提升，息差环比收窄,买入,中银国际,1,,,,,,,银行Ⅱ,2019-10-22,https://pdf.dfcfw.com/pdf/H3_AP201910221369403582_1.pdf
159,000001,平安银行,核心指标全面向好，未来持续超预期,买入,东吴证券,1,,,,,,,银行Ⅱ,2019-08-12,https://pdf.dfcfw.com/pdf/H3_AP201908121342929286_1.pdf
160,000001,平安银行,半年报点评：息差提升推动净利快速增长,增持,群益证券,1,,,,,,,银行Ⅱ,2019-08-08,https://pdf.dfcfw.com/pdf/H3_AP201908081342665393_1.pdf
161,000001,平安银行,点评报告：二季度净息差继续上行,增持,万联证券,1,,,,,,,银行Ⅱ,2019-08-08,https://pdf.dfcfw.com/pdf/H3_AP201908081342662509_1.pdf
162,000001,平安银行,平安银行2019年半年报点评：盈利能力稳步提升，零售业务不断突破,买入,东兴证券,1,,,,,,,银行Ⅱ,2019-08-08,https://pdf.dfcfw.com/pdf/H3_AP201908081342661114_1.pdf
163,000001,平安银行,零售业务步入提质阶段，资产质量优化,买入,华金证券,1,,,,,,,银行Ⅱ,2019-08-08,https://pdf.dfcfw.com/pdf/H3_AP201908081342660372_1.pdf
164,000001,平安银行,All-round improvement; NIM & NPL are bright spots,买入,招银国际,1,,,,,,,银行Ⅱ,2019-08-08,https://pdf.dfcfw.com/pdf/H3_AP201908081342653437_1.pdf
165,000001,平安银行,业绩全面改善，净息差及不良率表现亮眼,买入,招银国际,1,,,,,,,银行Ⅱ,2019-08-08,https://pdf.dfcfw.com/pdf/H3_AP201908081342638362_1.pdf
166,000001,平安银行,息差表现亮眼，零售贡献度持续提升,买入,中银国际,1,,,,,,,银行Ⅱ,2019-08-08,https://pdf.dfcfw.com/pdf/H3_AP201908081342635846_1.pdf
167,000001,平安银行,基本面迎拐点，依托集团转型可期,买入,中银国际,1,,,,,,,银行Ⅱ,2019-07-02,https://pdf.dfcfw.com/pdf/H3_AP201907021337093068_1.pdf
168,000001,平安银行,Best proxy to capture the retail banking boom,买入,招银国际,1,,,,,,,银行Ⅱ,2019-07-01,https://pdf.dfcfw.com/pdf/H3_AP201907011336943414_1.pdf
169,000001,平安银行,零售转型步入盈利提升与资产质量优化新阶段,买入,华金证券,1,,,,,,,银行Ⅱ,2019-06-06,https://pdf.dfcfw.com/pdf/H3_AP201906061333913872_1.pdf
170,000001,平安银行,解码平安：如何成为世界级综合金融集团,,恒大研究院,1,,,,,,,银行Ⅱ,2019-06-06,https://pdf.dfcfw.com/pdf/H3_AP201906061333904295_1.pdf
171,000001,平安银行,一季报点评：息差回升，资产质量继续改善，净利增长提速,买入,群益证券,1,,,,,,,银行Ⅱ,2019-04-25,https://pdf.dfcfw.com/pdf/H3_AP201904251322394377_1.pdf
172,000001,平安银行,2019年一季报点评：业绩提速息差增长，质量扎实拨备增厚,买入,西南证券,1,,,,,,,银行Ⅱ,2019-04-25,https://pdf.dfcfw.com/pdf/H3_AP201904251322346594_1.pdf
173,000001,平安银行,Takeaways from retail banking corporate day,,招银国际,1,,,,,,,银行Ⅱ,2019-03-14,https://pdf.dfcfw.com/pdf/H3_AP201903141305790669_1.pdf
174,000001,平安银行,零售银行开放日纪要,,招银国际,1,,,,,,,银行Ⅱ,2019-03-12,https://pdf.dfcfw.com/pdf/H3_AP201903121304985362_1.pdf
175,000001,平安银行,平安银行18年报业绩点评：零售贷款驱动业绩，净息差环比向好,增持,民生证券,1,,,,,,,银行Ⅱ,2019-03-08,https://pdf.dfcfw.com/pdf/H3_AP201903081304235439_1.pdf
